respondent_id,region,age_group,question,selected_option,date
1,East,36-50,Favorite Product,Product B,2024-01-01
2,West,18-25,Favorite Product,Product A,2024-01-02
3,North,18-25,Favorite Product,Product B,2024-01-03
4,East,36-50,Favorite Product,Product C,2024-01-04
5,East,18-25,Favorite Product,Product B,2024-01-05
6,West,36-50,Favorite Product,Product A,2024-01-06
7,North,26-35,Favorite Product,Product B,2024-01-07
8,North,18-25,Favorite Product,Product A,2024-01-08
9,East,26-35,Favorite Product,Product A,2024-01-09
10,South,36-50,Favorite Product,Product A,2024-01-10
11,East,26-35,Favorite Product,Product A,2024-01-11
12,East,26-35,Favorite Product,Product A,2024-01-12
13,East,36-50,Favorite Product,Product A,2024-01-13
14,East,26-35,Favorite Product,Product B,2024-01-14
15,West,26-35,Favorite Product,Product A,2024-01-15
16,North,36-50,Favorite Product,Product A,2024-01-16
17,West,26-35,Favorite Product,Product C,2024-01-17
18,West,36-50,Favorite Product,Product B,2024-01-18
19,West,26-35,Favorite Product,Product B,2024-01-19
20,East,36-50,Favorite Product,Product A,2024-01-20
21,South,36-50,Favorite Product,Product A,2024-01-21
22,North,26-35,Favorite Product,Product A,2024-01-22
23,South,26-35,Favorite Product,Product A,2024-01-23
24,West,26-35,Favorite Product,Product A,2024-01-24
25,West,18-25,Favorite Product,Product A,2024-01-25
26,South,18-25,Favorite Product,Product A,2024-01-26
27,South,18-25,Favorite Product,Product A,2024-01-27
28,South,36-50,Favorite Product,Product B,2024-01-28
29,West,26-35,Favorite Product,Product A,2024-01-29
30,West,36-50,Favorite Product,Product A,2024-01-30
31,North,18-25,Favorite Product,Product B,2024-01-31
32,North,26-35,Favorite Product,Product B,2024-02-01
33,West,36-50,Favorite Product,Product A,2024-02-02
34,South,26-35,Favorite Product,Product C,2024-02-03
35,South,36-50,Favorite Product,Product B,2024-02-04
36,North,26-35,Favorite Product,Product A,2024-02-05
37,West,18-25,Favorite Product,Product C,2024-02-06
38,North,18-25,Favorite Product,Product C,2024-02-07
39,North,26-35,Favorite Product,Product A,2024-02-08
40,East,36-50,Favorite Product,Product A,2024-02-09
41,East,18-25,Favorite Product,Product C,2024-02-10
42,East,18-25,Favorite Product,Product B,2024-02-11
43,South,18-25,Favorite Product,Product A,2024-02-12
44,West,26-35,Favorite Product,Product A,2024-02-13
45,West,26-35,Favorite Product,Product A,2024-02-14
46,West,36-50,Favorite Product,Product B,2024-02-15
47,West,36-50,Favorite Product,Product B,2024-02-16
48,East,36-50,Favorite Product,Product A,2024-02-17
49,South,26-35,Favorite Product,Product B,2024-02-18
50,South,26-35,Favorite Product,Product B,2024-02-19
51,East,36-50,Favorite Product,Product A,2024-02-20
52,South,36-50,Favorite Product,Product A,2024-02-21
53,East,26-35,Favorite Product,Product B,2024-02-22
54,West,36-50,Favorite Product,Product C,2024-02-23
55,East,18-25,Favorite Product,Product B,2024-02-24
56,West,26-35,Favorite Product,Product B,2024-02-25
57,West,36-50,Favorite Product,Product A,2024-02-26
58,North,26-35,Favorite Product,Product B,2024-02-27
59,East,18-25,Favorite Product,Product B,2024-02-28
60,North,26-35,Favorite Product,Product A,2024-02-29
61,East,26-35,Favorite Product,Product A,2024-03-01
